section_title,section_type,classification_label,code,descriptor,period,duration,variable1_label,variable1_code,variable1_descriptor,variable2_label,variable2_code,variable2_descriptor,value_type_description,value,value_label,decimals,confidentiality_indicator,confidentiality_label,final_indicator,final_label,last_updated_at_source
Population,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Count,6585.000000,,0,,,,,2024-07-15 09:28:25+00
Median age,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Median,21.500000,years,1,,,,,2024-07-15 09:28:43+00
People born overseas,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Percent,46.600000,percent,1,,,,,2024-07-15 09:32:38+00
Overseas-born who arrived in New Zealand less than 10 years ago,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Percent,32.900000,percent,1,,,,,2024-07-15 09:33:39+00
People who speak more than one language,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Percent,46.800000,percent,1,,,,,2024-07-15 09:37:01+00
Median personal income of adults,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Median,25500.000000,dollars,0,,,,,2024-07-15 09:33:54+00
Adults with a post-school qualification,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Percent,34.000000,percent,1,,,,,2024-08-20 16:48:56+00
Adults who own their home or hold it in a family trust,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Percent,12.600000,percent,1,,,,,2024-08-15 09:37:33+00
People with access to the internet,Quick stats,Ethnic group,37144,Tuvaluan,2023,Census,,,,,,,Percent,91.100000,percent,1,,,,,2024-09-10 08:51:41+00
Population,,Ethnic group,37144,Tuvaluan,1996,Census,Population count,CURPC,Census usually resident population count,,,,Count,,,0,..,not available,,,2024-07-15 09:05:57+00
Population,,Ethnic group,37144,Tuvaluan,2001,Census,Population count,CURPC,Census usually resident population count,,,,Count,,,0,..,not available,,,2024-07-15 09:05:57+00
Population,,Ethnic group,37144,Tuvaluan,2006,Census,Population count,CURPC,Census usually resident population count,,,,Count,,,0,..,not available,,,2024-07-15 09:05:57+00
Population,,Ethnic group,37144,Tuvaluan,2013,Census,Population count,CURPC,Census usually resident population count,,,,Count,3537.000000,,0,,,,,2024-07-15 09:05:57+00
Population,,Ethnic group,37144,Tuvaluan,2018,Census,Population count,CURPC,Census usually resident population count,,,,Count,4653.000000,,0,,,,,2024-07-15 09:05:57+00
Population,,Ethnic group,37144,Tuvaluan,2023,Census,Population count,CURPC,Census usually resident population count,,,,Count,6585.000000,,0,,,,,2024-07-15 09:05:57+00
Population,,Ethnic group,37144,Tuvaluan,1996,At 30 June,Population count,ERP,Estimated resident population,,,,Count,,,0,..,not available,,,2025-07-03 13:12:49+00
Population,,Ethnic group,37144,Tuvaluan,2001,At 30 June,Population count,ERP,Estimated resident population,,,,Count,,,0,..,not available,,,2025-07-03 13:12:49+00
Population,,Ethnic group,37144,Tuvaluan,2006,At 30 June,Population count,ERP,Estimated resident population,,,,Count,,,0,..,not available,,,2025-07-03 13:12:49+00
Population,,Ethnic group,37144,Tuvaluan,2013,At 30 June,Population count,ERP,Estimated resident population,,,,Count,,,0,..,not available,,,2025-07-03 13:12:49+00
Population,,Ethnic group,37144,Tuvaluan,2018,At 30 June,Population count,ERP,Estimated resident population,,,,Count,,,0,..,not available,,,2025-07-03 13:12:49+00
